sample,node,dim,train_min_px,train_max_px,train_mean_px,test_min_px,test_max_px,final_test_px,final_outside_train_px,max_test_outside_train_px,max_test_outside_time_s,emphasized_node
sample_2,6,y,759.1118654485514,933.7975879726703,837.9854193563277,762.3544533924182,927.5296508694508,834.5021303598947,0.0,0.0,14.948266744613647,False
sample_2,7,x,2690.271735636802,2880.907959308186,2791.3696713467425,2723.9320481513096,2867.5466296399886,2839.413112337391,0.0,0.0,14.948266744613647,False
sample_2,7,y,789.9439886883562,869.0397546207776,823.7474990696134,794.4377380211365,855.5340979479289,819.4231328565452,0.0,0.0,14.948266744613647,False
sample_2,8,x,1023.782990464928,1200.435065534101,1119.6931322523344,1035.5541165714599,1209.116124260355,1170.2347048785887,0.0,8.681058726253923,19.45276665687561,False
sample_2,8,y,1334.2109450218913,1403.9844599015676,1370.4886276015202,1340.402355236471,1394.707468409956,1366.8815658891483,0.0,0.0,14.948266744613647,False
sample_2,9,x,1590.7102917452764,1764.5914362298622,1685.8110608560105,1604.5998706030578,1765.129988184906,1735.834835670699,0.0,0.5385519550438858,19.45276665687561,False
sample_2,9,y,1301.0474551911889,1458.498959525918,1372.0626316417824,1298.5549593629646,1454.8454404834185,1371.0721478785283,0.0,2.492495828224264,17.11710000038147,False
sample_2,10,x,2136.481228832077,2310.2534106200187,2224.5105563364277,2149.112536714664,2300.293982451728,2271.3338013117364,0.0,0.0,14.948266744613647,False
sample_2,10,y,1301.8675377383886,1468.621680239852,1373.0858187496542,1297.9431556603122,1460.3092320942378,1364.6127583485252,0.0,3.9243820780764054,17.11710000038147,False
sample_2,11,x,2728.689846647289,2896.7490842125553,2811.6278331578224,2732.8983360064153,2887.8006469254365,2852.960429986084,0.0,0.0,14.948266744613647,False
sample_2,11,y,1331.1157924317506,1411.5982545217266,1370.4892518947336,1343.8950282167798,1398.5235332437605,1364.3734882251308,0.0,0.0,14.948266744613647,False
sample_2,12,x,1013.5034784229545,1015.6831090640898,1014.7783687169277,1013.813321062509,1015.3566919648234,1015.1213468792556,0.0,0.0,14.948266744613647,True
sample_2,12,y,2020.304562328153,2021.6301393812244,2020.9712381883942,2020.3447266154542,2021.5380335402529,2020.7216276799595,0.0,0.0,14.948266744613647,True
sample_2,13,x,1650.1189663045643,1731.7861273599658,1691.2025921159918,1660.1734700482903,1721.2870763412277,1702.5059058788731,0.0,0.0,14.948266744613647,False
sample_2,13,y,1857.3118166403556,2014.9046625998037,1927.7738374337093,1856.9287868198994,2008.8005715933818,1922.1314275058994,0.0,0.38302982045615863,16.282933235168457,False
sample_2,14,x,2210.502867252318,2284.964270362172,2249.4846055415237,2221.962800702544,2279.740200936668,2259.8298441498023,0.0,0.0,14.948266744613647,False
sample_2,14,y,1868.6244736565081,2018.5456956788535,1936.451623831617,1867.110246715627,2018.3933278774691,1929.7893308521361,0.0,1.5142269408811444,16.449766635894775,False
sample_2,15,x,2915.758107523549,2917.2044715447155,2916.5596256990157,2915.818007737194,2917.0615096653432,2916.9085491560363,0.0,0.0,14.948266744613647,True
sample_2,15,y,2017.0403058529482,2018.1507985614294,2017.6415704729602,2017.1116691227799,2018.0528459226218,2017.3588712794742,0.0,0.0,14.948266744613647,True
sample_3,0,x,811.4706950958252,1169.680723847441,1036.393037265672,793.5373984269288,1268.4108450054757,1016.0461551783859,0.0,98.73012115803476,19.419399976730347,False
sample_3,0,y,177.93313869665513,185.22924743360775,181.35277058675368,178.11323287433964,184.23571113377747,183.35312030943305,0.0,0.0,14.948266744613647,False
sample_3,1,x,1516.1466270011128,1768.0264443616766,1670.327174600843,1514.9779072338779,1824.3579451756432,1676.6324469536985,0.0,56.33150081396661,19.419399976730347,False
sample_3,1,y,199.0281220446966,378.6186218730245,285.47145886423095,207.75915960981885,377.5084812799904,301.9346779870419,0.0,0.0,14.948266744613647,False
sample_3,2,x,2157.8726841909343,2301.1483917483297,2247.0526189384814,2171.422077021253,2309.620929102665,2255.4095023097343,0.0,8.472537354335145,22.522500038146973,False
sample_3,2,y,207.55522394469017,389.82272588692825,291.5729423293902,209.73035675675675,387.93290917885173,300.2489844833232,0.0,0.0,14.948266744613647,False
sample_3,3,x,2868.0521944656557,2869.913344925016,2869.221577602957,2868.4089206078993,2869.9038996608992,2869.482143115863,0.0,0.0,14.948266744613647,True
sample_3,3,y,176.63093783634406,177.87757335884945,177.28424670282593,176.49250952608625,177.63339734078147,176.49250952608625,-0.1384283102578081,0.1384283102578081,24.891533374786377,True
sample_3,4,x,970.3998263086382,1232.4301377246356,1128.9192964006763,996.2640060272482,1282.85093176585,1164.2358873386545,0.0,50.42079404121432,19.45276665687561,False
sample_3,4,y,785.0700564259811,866.138082261773,825.9859051301412,796.0861136510231,853.9707807085373,832.5852970028016,0.0,0.0,14.948266744613647,False
sample_3,5,x,1565.954542537489,1788.8842024484359,1696.3025069442838,1584.4099090663171,1811.8823712474855,1739.4865496572886,0.0,22.99816879904961,19.45276665687561,False
sample_3,5,y,766.4614878256451,940.0331904532796,849.6891168462519,766.2675412099767,943.9429984863588,865.9795735467033,0.0,3.9098080330791163,21.05436658859253,False
sample_3,6,x,2099.0326423024862,2308.8782217392513,2218.65912822302,2125.474941220146,2299.5819902788435,2258.88721726714,0.0,0.0,14.948266744613647,False
sample_3,6,y,751.5394476069998,931.4303209062583,837.5767515224278,754.7173183085765,935.4342103362084,854.398671440101,0.0,4.00388942995005,21.05436658859253,False
sample_3,7,x,2691.25693048071,2875.8619284320794,2791.3635861248763,2719.20085700767,2864.761101272791,2831.2851984843373,0.0,0.0,14.948266744613647,False
sample_3,7,y,786.7656281528714,873.6490578507937,823.273885287595,794.3602587603942,858.754687813692,828.3241811653144,0.0,0.0,14.948266744613647,False
sample_3,8,x,1010.6620756212732,1197.5339619199954,1119.4776870045432,1031.36851767499,1203.9056676437237,1160.842821659215,0.0,6.3717057237283825,19.25256657600403,False
sample_3,8,y,1330.1348707340883,1403.3537581017551,1370.291257910243,1335.623694331771,1395.7071030029465,1367.0819104392874,0.0,0.0,14.948266744613647,False
sample_3,9,x,1577.1286614458559,1762.3141135017408,1685.66891603263,1598.7485777181575,1766.5070022006914,1726.87029303561,0.0,4.192888698950583,19.419399976730347,False
sample_3,9,y,1297.0842891437717,1455.4084037334549,1371.9616000821256,1292.4498183469573,1454.5255326294885,1376.7669564352777,0.0,4.634470796814412,17.11710000038147,False
sample_3,10,x,2125.7146955150974,2307.5617869107564,2224.4904653579893,2145.1189792663477,2298.884261298102,2261.479735694973,0.0,0.0,14.948266744613647,False
