H,D,number_of_terms,number_of_terms_std,selected_alpha,selected_alpha_std,validation_nmse_2d,validation_nmse_2d_std,train_nmse_x,train_nmse_x_std,test_nmse_x,test_nmse_x_std,train_nmse_y,train_nmse_y_std,test_nmse_y,test_nmse_y_std,train_nmse_2d,train_nmse_2d_std,test_nmse_2d,test_nmse_2d_std,num_train_rows,num_train_rows_std,num_test_rows,num_test_rows_std,terms_per_train_row,terms_per_train_row_std,num_samples
4,3,55.0,0.0,1.0,0.0,0.9204842524142023,0.0058780801011817495,0.47052335146059565,0.009702847981733629,0.36216263273068566,0.0023680896432861425,0.8953169021737336,0.0030026035810154826,0.9600875398203783,0.006153219582786258,0.5497219096013115,0.008094705029252539,0.4265120990874663,0.0026931509599377695,299.0,0.0,299.0,0.0,0.18394648829431437,0.0,5
5,3,83.0,0.0,1.0,0.0,0.9053509136830586,0.0046327066936125766,0.4392224809338369,0.00898053028758986,0.4181431588915978,0.003612057393855428,0.8713491397045734,0.0028234935145433375,1.0349658033923093,0.012577264246418593,0.519787433334596,0.007489880206775032,0.48451232832166874,0.0031936555761238918,299.0,0.0,299.0,0.0,0.27759197324414714,0.0,5
6,3,119.0,0.0,1.0,0.0,0.931327661902381,0.003675444681146919,0.4227876555677935,0.007897637514605151,0.48271644195732816,0.0067128029216179975,0.8221884838686847,0.0036410891960302035,1.054416506993046,0.01571674348959739,0.49724929488471964,0.006852858542206443,0.5442187844551795,0.005668433137800935,299.0,0.0,299.0,0.0,0.3979933110367893,0.0,5
7,3,164.0,0.0,1.0,0.0,1.0490010582448082,0.009260153004744484,0.3949522631304045,0.006454495492052381,0.48682029534319876,0.005986917636376892,0.7940119503407115,0.003009720131379331,1.07670009707366,0.020759786653933354,0.4693486445438566,0.005562742344061151,0.5502740962284999,0.0047379241303187065,299.0,0.0,299.0,0.0,0.5484949832775919,0.0,5
8,3,219.0,0.0,1.0,0.0,1.1597249360449289,0.010880082453149783,0.3770604715476308,0.006250115083355885,0.5290796851245247,0.0069078767396006215,0.7587055385958129,0.003610481682940004,1.126295326352174,0.024508476567587978,0.44820904244525606,0.005493484733581168,0.593314742769874,0.005850457730160024,299.0,0.0,299.0,0.0,0.7324414715719063,0.0,5
9,3,285.0,0.0,1.0,0.0,1.2348731205998043,0.013685069047691196,0.36309866557599385,0.006597310757019976,0.5460528097395436,0.008994250487175375,0.7256550064000551,0.003974653635143583,1.1370944945557229,0.02809179929414442,0.4306886476713977,0.005902928571172568,0.6096172759720879,0.007919169626231086,299.0,0.0,299.0,0.0,0.9531772575250838,1.1102230246251565e-16,5
10,3,363.0,0.0,1.0,0.0,1.3494580002335972,0.01728742111401498,0.34844558473784926,0.006658584395564361,0.5686338600597984,0.009422632650673841,0.6952819269891408,0.004790522315923173,1.215974841219964,0.03085420574849355,0.4131052380868008,0.0061553164657439305,0.6382511712467663,0.007899696799755369,299.0,0.0,299.0,0.0,1.214046822742475,0.0,5
11,3,454.0,0.0,1.0,0.0,1.449465221693357,0.019708462349383202,0.3342120163314206,0.00633825588465973,0.6066797116870585,0.011465398447591497,0.6436730005289476,0.005938368479207599,1.3509896180817798,0.032892335590058976,0.3919011700875543,0.0060980785714042736,0.6867334369780964,0.010107247318498188,299.0,0.0,299.0,0.0,1.5183946488294315,0.0,5
12,3,559.0,0.0,1.0,0.0,1.5669821678703098,0.025022811539783044,0.30239187143512986,0.005403446216094981,0.6483548761006606,0.011688471612636264,0.5951111919518806,0.007040999516745473,1.5208739937077569,0.04683762069274523,0.3569583935414371,0.005581821574889999,0.7421857217491787,0.009892610523559426,299.0,0.0,299.0,0.0,1.8695652173913042,2.220446049250313e-16,5
13,3,679.0,0.0,1.0,0.0,1.6654325755397887,0.0244966829863488,0.27733489261217437,0.005140628320012562,0.7354465879844457,0.01557397201028056,0.5456893600559445,0.006288722221068752,1.709222099581769,0.06146771694298379,0.32736002289689037,0.005259518608267675,0.8401540709820345,0.014126829329919212,299.0,0.0,299.0,0.0,2.270903010033445,0.0,5
