topology,amplitude,sample,H,D,fold,selected_alpha,number_of_terms,min_training_rows_per_fold,terms_per_training_row,overparameterized,condition_warning,train_nmse_x,val_nmse_x,train_nmse_y,val_nmse_y,train_nmse_2d,val_nmse_2d
topology_13_prestress,amp=2.5,sample_0,1,1,2,0.01,2,447,0.0044742729306487695,False,,0.36676853340779536,0.23997031492520807,0.7671994353545932,0.7053012237511905,0.3846681871180426,0.26030086212060577
topology_13_prestress,amp=2.5,sample_0,1,1,3,0.01,2,447,0.0044742729306487695,False,,0.32390952199552636,0.40253646904118745,0.7274250820084316,0.7140399052641944,0.34304276699957825,0.41863695789589234
topology_13_prestress,amp=2.5,sample_0,2,1,0,0.01,3,447,0.006711409395973154,False,,0.2851378116597206,0.4213618419028581,0.6386011746202946,0.9645147318771633,0.3004057588413957,0.4549521201402793
topology_13_prestress,amp=2.5,sample_0,2,1,1,0.01,3,447,0.006711409395973154,False,,0.25628667660556737,0.5771134568043187,0.6909521741543774,0.7898955046422789,0.2757964798378565,0.5864946588793929
topology_13_prestress,amp=2.5,sample_0,2,1,2,0.01,3,447,0.006711409395973154,False,,0.35595464869073884,0.2355758378832186,0.7670967571263647,0.7062471332053445,0.37434486611582474,0.25613970931657737
topology_13_prestress,amp=2.5,sample_0,2,1,3,0.01,3,447,0.006711409395973154,False,,0.3184630993134335,0.3831507964981503,0.7275835796525814,0.7144355390545255,0.3378845655273799,0.4002737097152114
topology_13_prestress,amp=2.5,sample_0,3,1,0,0.01,4,446,0.008968609865470852,False,,0.28079925271093886,0.4122151265926639,0.6381038856578288,0.9637195277745295,0.2962311064475505,0.44638620865477946
topology_13_prestress,amp=2.5,sample_0,3,1,1,0.01,4,446,0.008968609865470852,False,,0.25165921018646453,0.5678688757491592,0.690233913571437,0.7906875803871751,0.27134468685753693,0.577684794907572
topology_13_prestress,amp=2.5,sample_0,3,1,2,0.01,4,446,0.008968609865470852,False,,0.35069048962779326,0.23012522874652433,0.7680442442263077,0.69898764241412,0.3693411717788501,0.25066800191022853
topology_13_prestress,amp=2.5,sample_0,3,1,3,0.01,4,446,0.008968609865470852,False,,0.310885364523696,0.38084227165743245,0.7240777269340923,0.7183180823462343,0.33050859983777175,0.3981875853536899
topology_13_prestress,amp=2.5,sample_0,4,1,0,0.01,5,445,0.011235955056179775,False,,0.28064053116566356,0.4092417823123143,0.6382350383427693,0.9640755124085016,0.29606302541113183,0.44360682909991644
topology_13_prestress,amp=2.5,sample_0,4,1,1,0.01,5,445,0.011235955056179775,False,,0.251228983653125,0.5683540568142619,0.6896112685715785,0.79653082329189,0.2709155901896577,0.5783399401258776
topology_13_prestress,amp=2.5,sample_0,4,1,2,0.01,5,445,0.011235955056179775,False,,0.34873018929319743,0.2341436868667383,0.7678587868496581,0.7027358362498048,0.3674689052736964,0.25461440659119683
topology_13_prestress,amp=2.5,sample_0,4,1,3,0.01,5,445,0.011235955056179775,False,,0.31024675041902006,0.3810898496617598,0.7243030481821198,0.7184377525002417,0.3298990669412435,0.3984285892519102
topology_13_prestress,amp=2.5,sample_0,5,1,0,0.01,6,444,0.013513513513513514,False,,0.28057649352008796,0.40431269642123946,0.6379744800756761,0.963660457534298,0.2959788790283958,0.438683708096091
topology_13_prestress,amp=2.5,sample_0,5,1,1,0.01,6,444,0.013513513513513514,False,,0.2506559046203531,0.5691646819319034,0.6885377811261325,0.7924581186762909,0.270293113573991,0.5788900463081753
topology_13_prestress,amp=2.5,sample_0,5,1,2,0.01,6,444,0.013513513513513514,False,,0.34751562731460556,0.23498634709918417,0.7601949013539482,0.715281396742395,0.3659302407319305,0.2559683148065721
topology_13_prestress,amp=2.5,sample_0,5,1,3,0.01,6,444,0.013513513513513514,False,,0.30912610032843457,0.38266523429517935,0.7235589579125554,0.7156727684693424,0.3287407900242791,0.3997808910638193
topology_13_prestress,amp=2.5,sample_0,6,1,0,0.01,7,444,0.015765765765765764,False,,0.2788229701012082,0.40859864910486304,0.6379700965326093,0.9631977837463638,0.2943007363550398,0.4427632376766058
topology_13_prestress,amp=2.5,sample_0,6,1,1,0.01,7,444,0.015765765765765764,False,,0.2502062591116269,0.5642980574246457,0.6884921392390285,0.7913335071213194,0.2698482010665773,0.5741864021374307
topology_13_prestress,amp=2.5,sample_0,6,1,2,0.01,7,444,0.015765765765765764,False,,0.345457944000539,0.23505916582884087,0.7594972791449305,0.7159578241513581,0.3639158676182673,0.2560675025313425
topology_13_prestress,amp=2.5,sample_0,6,1,3,0.01,7,444,0.015765765765765764,False,,0.3085992657354302,0.3794506547770036,0.7236124340835931,0.7161783574491971,0.3282262942737613,0.39675751781156693
topology_13_prestress,amp=2.5,sample_0,7,1,0,0.01,8,443,0.01805869074492099,False,,0.27841509638195927,0.41011790455723046,0.6378050260218786,0.964674843727287,0.29390689097581235,0.4442391568317607
topology_13_prestress,amp=2.5,sample_0,7,1,1,0.01,8,443,0.01805869074492099,False,,0.2503254008182591,0.5632465742712969,0.6877627766092195,0.7868634575306059,0.2699250594649394,0.5730025242751328
topology_13_prestress,amp=2.5,sample_0,7,1,2,0.01,8,443,0.01805869074492099,False,,0.3466832864234184,0.23321138972956856,0.754112494176042,0.7193342362430558,0.36459324814458316,0.2549962426790095
topology_13_prestress,amp=2.5,sample_0,7,1,3,0.01,8,443,0.01805869074492099,False,,0.3067451402681005,0.3816940882774583,0.7190084207313165,0.7166240582414716,0.3264620011306258,0.3982221980718954
topology_13_prestress,amp=2.5,sample_0,8,1,0,0.01,9,442,0.020361990950226245,False,,0.27760924509119156,0.40911493550448896,0.6371966251858714,0.9638355661080312,0.29311750990651153,0.442935587788792
topology_13_prestress,amp=2.5,sample_0,8,1,1,0.01,9,442,0.020361990950226245,False,,0.2506640403096958,0.5597274466585451,0.6864967278177875,0.7911688295678848,0.27014718312157326,0.5699519823273489
topology_13_prestress,amp=2.5,sample_0,8,1,2,0.01,9,442,0.020361990950226245,False,,0.3462509993849044,0.23325965507075383,0.7523835222163013,0.7158406813222455,0.364154554424445,0.25486082546178995
topology_13_prestress,amp=2.5,sample_0,8,1,3,0.01,9,442,0.020361990950226245,False,,0.3064968128405454,0.3811078222738558,0.7176047194801781,0.7178565408877735,0.3261583927575802,0.39772568359867205
topology_13_prestress,amp=2.5,sample_0,9,1,0,0.01,10,441,0.022675736961451247,False,,0.27553560017595075,0.40306818020467894,0.6324118435889452,0.9724971692960477,0.29092883965456173,0.4373461117538336
topology_13_prestress,amp=2.5,sample_0,9,1,1,0.01,10,441,0.022675736961451247,False,,0.25000789245569693,0.5473462294300244,0.6846479838342847,0.7836209074515683,0.2693889657895339,0.5577935748815106
topology_13_prestress,amp=2.5,sample_0,9,1,2,0.01,10,441,0.022675736961451247,False,,0.34202530656426766,0.23349256582710728,0.7504629346107176,0.7121246220904021,0.35998213326094447,0.25491697341781805
topology_13_prestress,amp=2.5,sample_0,9,1,3,0.01,10,441,0.022675736961451247,False,,0.303543595329018,0.37948989885758927,0.7149878175985015,0.7168400731004956,0.32316424770754426,0.3961374407889916
